visual_set_id,original_figure_id,part,set_type,source_id,source_locator,asset_path,asset_media_type,asset_sha256,anchor_row_start,anchor_row_end,rights_status,mapping_status,notes
vs-p2-v01,P2-V01,2,four_question_image,src-001,'Part2 그림 연습'!A1:K19,data/working/extended-sample/assets/part2__P2-V01.png,image/png,8b21b811fb9c62c7c955d15f542acb3412c9c33bd2c5a7e531e279421b5190b5,2,,review_needed,verified,"oneCellAnchor A2; OOXML에 명시적 종료 행 없음; ext_cx=5619750, ext_cy=3124200; media=xl/media/image.png"
vs-p2-v02,P2-V02,2,four_question_image,src-001,'Part2 그림 연습'!A20:K38,data/working/extended-sample/assets/part2__P2-V02.png,image/png,cb66ee5388641423f55d5ab14ea95f494378dc011ea7440dfa1bb30cc89f6ff4,21,,review_needed,verified,"oneCellAnchor A21; OOXML에 명시적 종료 행 없음; ext_cx=5619750, ext_cy=3124200; media=xl/media/image2.png"
vs-p7-v01,P7-V01,7,story_image,src-001,'Part7 스토리 그림'!A1:N18,data/working/extended-sample/assets/part7__P7-V01.png,image/png,8018d6e0dff6ec3859d28734bd71db790b453f9fedd68938d74b6b123154d2d5,2,,review_needed,verified,"oneCellAnchor A2; OOXML에 명시적 종료 행 없음; ext_cx=10287000, ext_cy=2571750; media=xl/media/image13.png"
vs-p7-v02,P7-V02,7,story_image,src-001,'Part7 스토리 그림'!A19:N36,data/working/extended-sample/assets/part7__P7-V02.png,image/png,cc5f74948e404942ad1114c2e4b9da2e2a3999f24accecdc19d07f1645e0f55d,20,,review_needed,verified,"oneCellAnchor A20; OOXML에 명시적 종료 행 없음; ext_cx=10287000, ext_cy=2571750; media=xl/media/image14.png"
